UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO_ELECCION;MESA;ESTADO_MESA;UBICACION_EN_CEDULA;TIPO_AGRUPACION;CODIGO_AGRUPACION;AGRUPACION_POLITICA;VOTOS_OBTENIDOS;ELECTORES_HABILES;VOTOS_BLANCOS;VOTOS_NULOS;VOTOS_IMPUG
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;168820;ACTA ELECTORAL NORMAL;1;NACIONAL;00002160;EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;86;297;5;9;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;168820;ACTA ELECTORAL NORMAL;3;REGIONAL;00000040;MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO;55;297;5;9;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;168820;ACTA ELECTORAL NORMAL;4;REGIONAL;00000087;MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;41;297;5;9;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;168820;ACTA ELECTORAL NORMAL;5;REGIONAL;00002277;SENTIMIENTO AMAZONENSE REGIONAL;13;297;5;9;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;168820;ACTA ELECTORAL NORMAL;6;REGIONAL;00002548;TODOS SOMOS AMAZONAS;15;297;5;9;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;168841;ACTA ELECTORAL NORMAL;1;NACIONAL;00002160;EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;66;298;3;7;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;168841;ACTA ELECTORAL NORMAL;3;REGIONAL;00000040;MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO;47;298;3;7;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;168841;ACTA ELECTORAL NORMAL;4;REGIONAL;00000087;MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;48;298;3;7;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;168841;ACTA ELECTORAL NORMAL;5;REGIONAL;00002277;SENTIMIENTO AMAZONENSE REGIONAL;11;298;3;7;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;168841;ACTA ELECTORAL NORMAL;6;REGIONAL;00002548;TODOS SOMOS AMAZONAS;21;298;3;7;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;168842;ACTA ELECTORAL NORMAL;1;NACIONAL;00002160;EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;80;298;2;7;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;168842;ACTA ELECTORAL NORMAL;3;REGIONAL;00000040;MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO;48;298;2;7;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;168842;ACTA ELECTORAL NORMAL;4;REGIONAL;00000087;MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;53;298;2;7;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;168842;ACTA ELECTORAL NORMAL;5;REGIONAL;00002277;SENTIMIENTO AMAZONENSE REGIONAL;7;298;2;7;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;168842;ACTA ELECTORAL NORMAL;6;REGIONAL;00002548;TODOS SOMOS AMAZONAS;16;298;2;7;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;168843;ACTA ELECTORAL NORMAL;1;NACIONAL;00002160;EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;66;295;1;1;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;168843;ACTA ELECTORAL NORMAL;3;REGIONAL;00000040;MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO;34;295;1;1;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;168843;ACTA ELECTORAL NORMAL;4;REGIONAL;00000087;MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;73;295;1;1;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;168843;ACTA ELECTORAL NORMAL;5;REGIONAL;00002277;SENTIMIENTO AMAZONENSE REGIONAL;14;295;1;1;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;168843;ACTA ELECTORAL NORMAL;6;REGIONAL;00002548;TODOS SOMOS AMAZONAS;15;295;1;1;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;243480;ACTA ELECTORAL NORMAL;1;NACIONAL;00002160;EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;67;297;6;11;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;243480;ACTA ELECTORAL NORMAL;3;REGIONAL;00000040;MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO;40;297;6;11;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;243480;ACTA ELECTORAL NORMAL;4;REGIONAL;00000087;MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;47;297;6;11;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;243480;ACTA ELECTORAL NORMAL;5;REGIONAL;00002277;SENTIMIENTO AMAZONENSE REGIONAL;9;297;6;11;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;243480;ACTA ELECTORAL NORMAL;6;REGIONAL;00002548;TODOS SOMOS AMAZONAS;25;297;6;11;0
